cid,email,iid,iname,strength
CHD771,CHD771@courses.iitd.ac.in,dbhatia,Divesh Bhatia,5
CHD782,CHD782@courses.iitd.ac.in,dbhatia,Divesh Bhatia,0
CHD871,CHD871@courses.iitd.ac.in,dbhatia,Divesh Bhatia,3
CHD872,CHD872@courses.iitd.ac.in,dbhatia,Divesh Bhatia,45
CHD873,CHD873@courses.iitd.ac.in,dbhatia,Divesh Bhatia,1
CHD874,CHD874@courses.iitd.ac.in,dbhatia,Divesh Bhatia,2
CHD895,CHD895@courses.iitd.ac.in,shalinig,Shalini Gupta,0
CHL727,CHL727@courses.iitd.ac.in,kkpant,Kamal Kishore Pant,23
CHP301,CHP301@courses.iitd.ac.in,vs225,Vikram Singh,1
CHP303,CHP303@courses.iitd.ac.in,munawar,Shaik Abdul Munawar,1
CHP311,CHP311@courses.iitd.ac.in,rajkh,Rajesh Khanna,1
CLD412,CLD412@courses.iitd.ac.in,jphirani,Jyoti Phirani,0
CLD413,CLD413@courses.iitd.ac.in,jphirani,Jyoti Phirani,1
CLD414,CLD414@courses.iitd.ac.in,jphirani,Jyoti Phirani,4
CLD415,CLD415@courses.iitd.ac.in,jphirani,Jyoti Phirani,0
CLD771,CLD771@courses.iitd.ac.in,shalinig,Shalini Gupta,22
CLD781,CLD781@courses.iitd.ac.in,shalinig,Shalini Gupta,0
CLD782,CLD782@courses.iitd.ac.in,shalinig,Shalini Gupta,12
CLD880,CLD880@courses.iitd.ac.in,dbhatia,Divesh Bhatia,47
CLD895,CLD895@courses.iitd.ac.in,shalinig,Shalini Gupta,0
CLL121,CLL121@courses.iitd.ac.in,goelg,Gaurav Goel,126
CLL122,CLL122@courses.iitd.ac.in,roys,Shantanu Roy,174
CLL231,CLL231@courses.iitd.ac.in,jphirani,Jyoti Phirani,180
CLL251,CLL251@courses.iitd.ac.in,jayati,Jayati Sarkar,191
CLL271,CLL271@courses.iitd.ac.in,arathore,Anurag Singh Rathore,133
CLL352,CLL352@courses.iitd.ac.in,anilverma,Anil Verma,120
CLL361,CLL361@courses.iitd.ac.in,munawar,Shaik Abdul Munawar,116
CLL371,CLL371@courses.iitd.ac.in,sreedevi,Sreedevi Upadhyayula,108
CLL475,CLL475@courses.iitd.ac.in,aksaroha,Anil Kumar Saroha,49
CLL722,CLL722@courses.iitd.ac.in,anupam,Anupam Shukla,23
CLL727,CLL727@courses.iitd.ac.in,kkpant,Kamal Kishore Pant,30
CLL731,CLL731@courses.iitd.ac.in,vvbuwa,Vivek Vitthal Buwa,98
CLL733,CLL733@courses.iitd.ac.in,ratan,Ratan Mohan,96
CLL735,CLL735@courses.iitd.ac.in,sbasu,Suddhasatwa Basu,9
CLL766,CLL766@courses.iitd.ac.in,ashoknb,A N Bhaskarwar,52
CLL767,CLL767@courses.iitd.ac.in,sudip,Sudip Kumar Pattanayek,19
CLL771,CLL771@courses.iitd.ac.in,vs225,Vikram Singh,21
CLL772,CLL772@courses.iitd.ac.in,paresh,Paresh Pravinchandra Chokshi,12
CLL779,CLL779@courses.iitd.ac.in,shalinig,Shalini Gupta,44
CLL782,CLL782@courses.iitd.ac.in,munawar,Shaik Abdul Munawar,28
CLL785,CLL785@courses.iitd.ac.in,mcramteke,Manojkumar Charandas Ramteke,56
CLL786,CLL786@courses.iitd.ac.in,rajkh,Rajesh Khanna,67
CLL793,CLL793@courses.iitd.ac.in,sgupta,S K Gupta,64
CLP302,CLP302@courses.iitd.ac.in,vs225,Vikram Singh,162
CLP704,CLP704@courses.iitd.ac.in,shalinig,Shalini Gupta,57
CLQ301,CLQ301@courses.iitd.ac.in,ratan,Ratan Mohan,27
CLQ302,CLQ302@courses.iitd.ac.in,sbasu,Suddhasatwa Basu,35
CMD641,CMD641@courses.iitd.ac.in,sisn,S Nagendran,50
CMD807,CMD807@courses.iitd.ac.in,sdeep,Shashank Deep,14
CML100A,CML100A@courses.iitd.ac.in,slgholap,Gholap Shivajirao Lahu,215
CML100B,CML100B@courses.iitd.ac.in,slgholap,Gholap Shivajirao Lahu,234
CML521,CML521@courses.iitd.ac.in,sdeep,Shashank Deep,54
CML522,CML522@courses.iitd.ac.in,nkurur,Narayanan D Kurur,57
CML523,CML523@courses.iitd.ac.in,ramesh,N G Ramesh,55
CML524,CML524@courses.iitd.ac.in,dkbp,D K Bandyopadhyay,54
CML525,CML525@courses.iitd.ac.in,sisn,S Nagendran,54
CML526,CML526@courses.iitd.ac.in,dtanmay,Tanmay Dutta,53
CML665,CML665@courses.iitd.ac.in,pramitc,Pramit Kumar Chowdhury,10
CML675,CML675@courses.iitd.ac.in,ravips,Ravi P Singh,2
CML695,CML695@courses.iitd.ac.in,skkhare,Sunil Kumar Khare,16
CML724,CML724@courses.iitd.ac.in,shankar,Ravi Shankar,58
CML729,CML729@courses.iitd.ac.in,ppingole,Pravin Popinand Ingole,25
CML737,CML737@courses.iitd.ac.in,njain,Nidhi Jain,26
CML738,CML738@courses.iitd.ac.in,elias,Anil Jacob Elias,23
CML739,CML739@courses.iitd.ac.in,skkhare,Sunil Kumar Khare,24
CML740,CML740@courses.iitd.ac.in,ravips,Ravi P Singh,17
CML801,CML801@courses.iitd.ac.in,hkashyap,Hemant Kumar Kashyap,19
CMP100A,CMP100A@courses.iitd.ac.in,ppingole,Pravin Popinand Ingole,211
CMP100B,CMP100B@courses.iitd.ac.in,ppingole,Pravin Popinand Ingole,224
CMP521,CMP521@courses.iitd.ac.in,nalinp,Nalin Pant,53
CMP522,CMP522@courses.iitd.ac.in,dtanmay,Tanmay Dutta,53
CMP728,CMP728@courses.iitd.ac.in,sapra,Sameer Sapra,12
COD310,COD310@courses.iitd.ac.in,ragesh,Ragesh Jaiswal,20
COD492,COD492@courses.iitd.ac.in,ragesh,Ragesh Jaiswal,2
COD494,COD494@courses.iitd.ac.in,ragesh,Ragesh Jaiswal,17
COD891,COD891@courses.iitd.ac.in,srsarangi,Smruti Ranjan Sarangi,71
COD892,COD892@courses.iitd.ac.in,srsarangi,Smruti Ranjan Sarangi,1
COD893,COD893@courses.iitd.ac.in,srsarangi,Smruti Ranjan Sarangi,24
COD895,COD895@courses.iitd.ac.in,srsarangi,Smruti Ranjan Sarangi,9
COL100A,COL100A@courses.iitd.ac.in,saran,Huzur Saran,257
COL100B,COL100B@courses.iitd.ac.in,subodh,Subodh Kumar,215
COL106,COL106@courses.iitd.ac.in,ragesh,Ragesh Jaiswal,220
COL216,COL216@courses.iitd.ac.in,anshul,Anshul Kumar,111
COL226,COL226@courses.iitd.ac.in,sanjiva,Sanjiva Prasad,130
COL331,COL331@courses.iitd.ac.in,sbansal,Sorav Bansal,131
COL352,COL352@courses.iitd.ac.in,naveen,Naveen Garg,117
COL362,COL362@courses.iitd.ac.in,ramanath,Maya Ramanath,108
COL380,COL380@courses.iitd.ac.in,svs,Subodh Vishnu Sharma,115
COL632,COL632@courses.iitd.ac.in,ramanath,Maya Ramanath,17
COL633,COL633@courses.iitd.ac.in,sbansal,Sorav Bansal,19
COL718,COL718@courses.iitd.ac.in,srsarangi,Smruti Ranjan Sarangi,37
COL726,COL726@courses.iitd.ac.in,suban,Subhashis Banerjee,46
COL740,COL740@courses.iitd.ac.in,scgupta,Suresh Chand Gupta,92
COL756,COL756@courses.iitd.ac.in,amitk,Amit Kumar,16
COL757,COL757@courses.iitd.ac.in,ssen,Sandeep Sen,5
COL758,COL758@courses.iitd.ac.in,snm,S N Maheshwari,12
COL774,COL774@courses.iitd.ac.in,parags,Parag Singla,115
COL781,COL781@courses.iitd.ac.in,pkalra,Prem Kumar Kalra,79
COL786,COL786@courses.iitd.ac.in,rahulgarg,Rahul Garg,17
COL812,COL812@courses.iitd.ac.in,panda,Preeti Ranjan Panda,24
COL819,COL819@courses.iitd.ac.in,srsarangi,Smruti Ranjan Sarangi,22
COL863,COL863@courses.iitd.ac.in,bagchi,Amitabha Bagchi,9
COL864,COL864@courses.iitd.ac.in,mausam,Mausam,16
COL867,COL867@courses.iitd.ac.in,vinay,Vinay Joseph Ribeiro,41
COL869,COL869@courses.iitd.ac.in,sak,S Arun-Kumar,6
COP290,COP290@courses.iitd.ac.in,kolin,Kolin Paul,101
COP315,COP315@courses.iitd.ac.in,mbala,M Balakrishnan,72
COQ301,COQ301@courses.iitd.ac.in,vinay,Vinay Joseph Ribeiro,30
COQ302,COQ302@courses.iitd.ac.in,anshul,Anshul Kumar,30
COQ303,COQ303@courses.iitd.ac.in,rahulgarg,Rahul Garg,30
COQ304,COQ304@courses.iitd.ac.in,sanjiva,Sanjiva Prasad,29
COS310,COS310@courses.iitd.ac.in,ragesh,Ragesh Jaiswal,5
COS799,COS799@courses.iitd.ac.in,srsarangi,Smruti Ranjan Sarangi,4
COV880,COV880@courses.iitd.ac.in,rahulgarg,Rahul Garg,1
COV881,COV881@courses.iitd.ac.in,kolin,Kolin Paul,10
COV882,COV882@courses.iitd.ac.in,sanjiva,Sanjiva Prasad,12
COV885,COV885@courses.iitd.ac.in,anshul,Anshul Kumar,23
COV886,COV886@courses.iitd.ac.in,amitk,Amit Kumar,20
COV888,COV888@courses.iitd.ac.in,parags,Parag Singla,39
CRD802,CRD802@courses.iitd.ac.in,prabhubabu,Prabhu Babu,24
CRD811,CRD811@courses.iitd.ac.in,prabhubabu,Prabhu Babu,1
CRD812,CRD812@courses.iitd.ac.in,prabhubabu,Prabhu Babu,28
CRD814,CRD814@courses.iitd.ac.in,prabhubabu,Prabhu Babu,2
CRL702,CRL702@courses.iitd.ac.in,arunkm,Arun Kumar,29
CRL704,CRL704@courses.iitd.ac.in,maggarwal,Monika Aggarwal,13
CRL706,CRL706@courses.iitd.ac.in,rbahl,Rajendra Bahl,8
CRL712,CRL712@courses.iitd.ac.in,skkoul,S K Koul,15
CRL722,CRL722@courses.iitd.ac.in,samareshdas,Samaresh Das,13
CRL724,CRL724@courses.iitd.ac.in,ananjan,Ananjan Basu,27
CRL732,CRL732@courses.iitd.ac.in,prsingh,Pushpapraj Singh,6
CSD310,CSD310@courses.iitd.ac.in,ragesh,Ragesh Jaiswal,1
CSD411,CSD411@courses.iitd.ac.in,ragesh,Ragesh Jaiswal,3
CSD412,CSD412@courses.iitd.ac.in,ragesh,Ragesh Jaiswal,1
CSD750,CSD750@courses.iitd.ac.in,srsarangi,Smruti Ranjan Sarangi,0
CSD851,CSD851@courses.iitd.ac.in,srsarangi,Smruti Ranjan Sarangi,1
CSD852,CSD852@courses.iitd.ac.in,srsarangi,Smruti Ranjan Sarangi,7
CSD853,CSD853@courses.iitd.ac.in,srsarangi,Smruti Ranjan Sarangi,1
CSD854,CSD854@courses.iitd.ac.in,srsarangi,Smruti Ranjan Sarangi,20
CSD893,CSD893@courses.iitd.ac.in,srsarangi,Smruti Ranjan Sarangi,0
CSD894,CSD894@courses.iitd.ac.in,srsarangi,Smruti Ranjan Sarangi,0
CSL100,CSL100@courses.iitd.ac.in,subodh,Subodh Kumar,174
CSS310,CSS310@courses.iitd.ac.in,ragesh,Ragesh Jaiswal,0
CVC772,CVC772@courses.iitd.ac.in,knjha,Kumar Neeraj Jha,30
CVD411,CVD411@courses.iitd.ac.in,alappat,Babu J Alappat,14
CVD412,CVD412@courses.iitd.ac.in,alappat,Babu J Alappat,17
CVD700,CVD700@courses.iitd.ac.in,shahu,Jagdish Telangrao Shahu,0
CVD710,CVD710@courses.iitd.ac.in,tanusree,Tanusree Chakraborty,0
CVD720,CVD720@courses.iitd.ac.in,arunku,Arun Kumar,0
CVD721,CVD721@courses.iitd.ac.in,arunku,Arun Kumar,16
CVD756,CVD756@courses.iitd.ac.in,abhijit.ganguli,Abhijit Ganguli,0
CVD757,CVD757@courses.iitd.ac.in,abhijit.ganguli,Abhijit Ganguli,0
CVD758,CVD758@courses.iitd.ac.in,abhijit.ganguli,Abhijit Ganguli,17
CVD772,CVD772@courses.iitd.ac.in,knjha,Kumar Neeraj Jha,0
CVD773,CVD773@courses.iitd.ac.in,knjha,Kumar Neeraj Jha,26
CVD777,CVD777@courses.iitd.ac.in,knjha,Kumar Neeraj Jha,0
CVD778,CVD778@courses.iitd.ac.in,knjha,Kumar Neeraj Jha,12
CVD800,CVD800@courses.iitd.ac.in,shahu,Jagdish Telangrao Shahu,0
CVD801,CVD801@courses.iitd.ac.in,shahu,Jagdish Telangrao Shahu,10
CVD810,CVD810@courses.iitd.ac.in,tanusree,Tanusree Chakraborty,0
CVD811,CVD811@courses.iitd.ac.in,tanusree,Tanusree Chakraborty,14
CVD831,CVD831@courses.iitd.ac.in,chakma,Sumedha Chakma,0
CVD832,CVD832@courses.iitd.ac.in,chakma,Sumedha Chakma,10
CVD853,CVD853@courses.iitd.ac.in,geetamt,Geetam Tewari,0
CVD854,CVD854@courses.iitd.ac.in,geetamt,Geetam Tewari,14
CVD895,CVD895@courses.iitd.ac.in,mdatta,Manoj Datta,1
CVL100,CVL100@courses.iitd.ac.in,aknema,Arvind Kumar Nema,454
CVL212,CVL212@courses.iitd.ac.in,arunku,Arun Kumar,106
CVL222,CVL222@courses.iitd.ac.in,ramana,Venkata Ramana Gunturi,92
CVL242,CVL242@courses.iitd.ac.in,abhijit.ganguli,Abhijit Ganguli,101
CVL244,CVL244@courses.iitd.ac.in,knjha,Kumar Neeraj Jha,103
CVL261,CVL261@courses.iitd.ac.in,rrkalaga,Ramachandra Rao Kalaga,98
CVL281,CVL281@courses.iitd.ac.in,smathur,Shashi Mathur,105
CVL313,CVL313@courses.iitd.ac.in,gazala,Gazala Habib,59
CVL342,CVL342@courses.iitd.ac.in,supratic,Supratic Gupta,105
CVL381,CVL381@courses.iitd.ac.in,chakma,Sumedha Chakma,116
CVL382,CVL382@courses.iitd.ac.in,chahar,Bhagu Ram Chahar,31
CVL422,CVL422@courses.iitd.ac.in,ramana,Venkata Ramana Gunturi,11
CVL431,CVL431@courses.iitd.ac.in,bmanna,Bappaditya Manna,66
CVL443,CVL443@courses.iitd.ac.in,madan,Alok Madan,50
CVL702,CVL702@courses.iitd.ac.in,araman,R Ayothiraman,15
CVL703,CVL703@courses.iitd.ac.in,mdatta,Manoj Datta,17
CVL705,CVL705@courses.iitd.ac.in,bmanna,Bappaditya Manna,14
CVL706,CVL706@courses.iitd.ac.in,shahu,Jagdish Telangrao Shahu,12
CVL712,CVL712@courses.iitd.ac.in,kgsharma,K G Sharma,24
CVL713,CVL713@courses.iitd.ac.in,kgsharma,K G Sharma,21
CVL714,CVL714@courses.iitd.ac.in,tanusree,Tanusree Chakraborty,24
CVL715,CVL715@courses.iitd.ac.in,raoks,K S Rao,25
CVL721,CVL721@courses.iitd.ac.in,alappat,Babu J Alappat,42
CVL723,CVL723@courses.iitd.ac.in,arunku,Arun Kumar,15
CVL724,CVL724@courses.iitd.ac.in,aknema,Arvind Kumar Nema,53
CVL728,CVL728@courses.iitd.ac.in,mukeshk,Mukesh Khare,40
CVL734,CVL734@courses.iitd.ac.in,kaushal,Deo Raj Kaushal,10
CVL735,CVL735@courses.iitd.ac.in,nkgarg,N K Garg,11
CVL746,CVL746@courses.iitd.ac.in,manojm,Manoj M,44
CVL760,CVL760@courses.iitd.ac.in,gurmail,Gurmail S Benipal,17
CVL761,CVL761@courses.iitd.ac.in,drsahoo,Dipti Ranjan Sahoo,23
CVL762,CVL762@courses.iitd.ac.in,matsagar,Vasant A Matsagar,29
CVL769,CVL769@courses.iitd.ac.in,aknagpal,A K Nagpal,13
CVL774,CVL774@courses.iitd.ac.in,kciyer,K C Iyer,51
CVL775,CVL775@courses.iitd.ac.in,kciyer,K C Iyer,54
CVL776,CVL776@courses.iitd.ac.in,akjain,A K Jain,53
CVL778,CVL778@courses.iitd.ac.in,bishwa,B Bhattacharjee,5
CVL811,CVL811@courses.iitd.ac.in,tanusree,Tanusree Chakraborty,4
CVL825,CVL825@courses.iitd.ac.in,gazala,Gazala Habib,7
CVL830,CVL830@courses.iitd.ac.in,akeshari,A K Keshari,11
CVL832,CVL832@courses.iitd.ac.in,rkhosa,Rakesh Khosa,0
CVL833,CVL833@courses.iitd.ac.in,rkhosa,Rakesh Khosa,5
CVL838,CVL838@courses.iitd.ac.in,gosain,A K Gosain,13
CVL844,CVL844@courses.iitd.ac.in,akswamy,Aravind Krishna Swamy,14
CVL845,CVL845@courses.iitd.ac.in,akswamy,Aravind Krishna Swamy,3
CVL847,CVL847@courses.iitd.ac.in,geetamt,Geetam Tewari,40
CVL849,CVL849@courses.iitd.ac.in,rrkalaga,Ramachandra Rao Kalaga,14
CVL859,CVL859@courses.iitd.ac.in,gurmail,Gurmail S Benipal,9
CVL861,CVL861@courses.iitd.ac.in,sbhalla,Suresh Bhalla,12
CVL864,CVL864@courses.iitd.ac.in,sbhalla,Suresh Bhalla,18
CVL871,CVL871@courses.iitd.ac.in,bishnoi,Shashank Bishnoi,27
CVL875,CVL875@courses.iitd.ac.in,bishwa,B Bhattacharjee,7
CVP222,CVP222@courses.iitd.ac.in,tanusree,Tanusree Chakraborty,94
CVP242,CVP242@courses.iitd.ac.in,abhijit.ganguli,Abhijit Ganguli,95
CVP261,CVP261@courses.iitd.ac.in,akswamy,Aravind Krishna Swamy,95
CVP281,CVP281@courses.iitd.ac.in,kaushal,Deo Raj Kaushal,95
CVP342,CVP342@courses.iitd.ac.in,drsahoo,Dipti Ranjan Sahoo,106
CVP730,CVP730@courses.iitd.ac.in,nkgarg,N K Garg,9
CVP731,CVP731@courses.iitd.ac.in,dhanya,Dhanya C.T.,8
CVP756,CVP756@courses.iitd.ac.in,supratic,Supratic Gupta,30
CVP771,CVP771@courses.iitd.ac.in,bishnoi,Shashank Bishnoi,20
CVP800,CVP800@courses.iitd.ac.in,shahu,Jagdish Telangrao Shahu,12
CVP810,CVP810@courses.iitd.ac.in,raoks,K S Rao,21
CVQ301,CVQ301@courses.iitd.ac.in,bishnoi,Shashank Bishnoi,108
CVS754,CVS754@courses.iitd.ac.in,rrkalaga,Ramachandra Rao Kalaga,0
CVS756,CVS756@courses.iitd.ac.in,abhijit.ganguli,Abhijit Ganguli,0
CYD670,CYD670@courses.iitd.ac.in,sisn,S Nagendran,0
CYD799,CYD799@courses.iitd.ac.in,ramesh,N G Ramesh,0
CYD801,CYD801@courses.iitd.ac.in,ramesh,N G Ramesh,0
CYD802,CYD802@courses.iitd.ac.in,ramesh,N G Ramesh,0
CYS801,CYS801@courses.iitd.ac.in,ramesh,N G Ramesh,0
DSC812,DSC812@courses.iitd.ac.in,gufranskhan,Gufran Sayeed Khan,7
DSD792,DSD792@courses.iitd.ac.in,sumerid,Sumer Singh,19
DSD801,DSD801@courses.iitd.ac.in,alvyas,A L Vyas,1
DSD802,DSD802@courses.iitd.ac.in,alvyas,A L Vyas,10
DSD892,DSD892@courses.iitd.ac.in,atreya,S K Atreya,19
DSL712,DSL712@courses.iitd.ac.in,shahani,D T Shahani,33
DSL714,DSL714@courses.iitd.ac.in,agarwala,A K Agarwala,8
DSL732,DSL732@courses.iitd.ac.in,sumerid,Sumer Singh,19
DSL733,DSL733@courses.iitd.ac.in,gufranskhan,Gufran Sayeed Khan,0
DSL734,DSL734@courses.iitd.ac.in,cshakher,Chandra Shakher,10
DSL737,DSL737@courses.iitd.ac.in,satishdubey,Satish Kumar Dubey,4
DSL782,DSL782@courses.iitd.ac.in,jyoti,Jyoti Kumar,26
DSL811,DSL811@courses.iitd.ac.in,alvyas,A L Vyas,5
DSP704,DSP704@courses.iitd.ac.in,shahani,D T Shahani,8
DSP711,DSP711@courses.iitd.ac.in,atreya,S K Atreya,19
DSP712,DSP712@courses.iitd.ac.in,atreya,S K Atreya,5
DSP722,DSP722@courses.iitd.ac.in,jyoti,Jyoti Kumar,20
DSR761,DSR761@courses.iitd.ac.in,jyoti,Jyoti Kumar,21
DSR762,DSR762@courses.iitd.ac.in,sumerid,Sumer Singh,10
DSR801,DSR801@courses.iitd.ac.in,atreya,S K Atreya,0
DSR862,DSR862@courses.iitd.ac.in,jyoti,Jyoti Kumar,21
DSV820,DSV820@courses.iitd.ac.in,jyoti,Jyoti Kumar,10
DTD899,DTD899@courses.iitd.ac.in,pardeep,Pardeep Kumar Gupta,1821
EED411,EED411@courses.iitd.ac.in,nsenroy,Nilanjan Senroy,0
EED412,EED412@courses.iitd.ac.in,nsenroy,Nilanjan Senroy,1
EED421,EED421@courses.iitd.ac.in,nsenroy,Nilanjan Senroy,0
EED422,EED422@courses.iitd.ac.in,nsenroy,Nilanjan Senroy,0
EED802,EED802@courses.iitd.ac.in,sumantra,Sumantra Dutta Roy,3
EED843,EED843@courses.iitd.ac.in,bhuvan,G Bhuvaneswari,12
EED851,EED851@courses.iitd.ac.in,seshan,Seshan Srirangarajan,0
EED852,EED852@courses.iitd.ac.in,seshan,Seshan Srirangarajan,17
EED853,EED853@courses.iitd.ac.in,seshan,Seshan Srirangarajan,0
EED854,EED854@courses.iitd.ac.in,seshan,Seshan Srirangarajan,9
EED862,EED862@courses.iitd.ac.in,seshan,Seshan Srirangarajan,2
EED889,EED889@courses.iitd.ac.in,msarkar,Mukul Sarkar,10
EED895,EED895@courses.iitd.ac.in,abhyankar,Abhijit Ramchandra Abhyankar,16
